"Type","Category","Message"
"fraud","Phishing","Urgent! Your SBI account is at risk. Verify now to avoid suspension: http://secure.sbi-verify247.com or call 1800-555-1234 immediately!"
"normal","Sports","Hey, wanna catch the soccer match tonight? It’s gonna be epic!"
"fraud","Phishing","Urgent: Your HDFC account shows suspicious activity. Secure it now at http://hdfc-secure-login.com or call 1800-123-4567 immediately!"
"fraud","Job Offer Scam","URGENT! Dream job awaits! Earn $800/day from home. No exp needed. Apply now: http://quickhire.workfromhome-jobs.org. Call 1-800-555-0123 ASAP!"
"fraud","Subscription Scam","Your Amazon Prime subscription is expiring today! Renew now for $12.99 or lose access. Click: http://prime-renewal-secure.com Urgent!"
"normal","Family","Hey fam, let’s meet up for pizza this Friday night. Miss you all!"
"fraud","Identity Theft","Urgent! Your identity is at risk. Verify your details now to secure your account: http://safe.id-protectonline.com or call 1800-555-1234 immediately!"
"fraud","Service Fraud","Urgent! Your bank account is at risk. Verify now to avoid suspension: http://secure.bankverify-india.com or call 1800-555-0123 immediately!"
"fraud","Investment Scams","Urgent! Double your investment in 7 days with our exclusive fund. Don’t miss out! Click now: http://invest.quickgainz.net or call 1-800-555-0123!"
"fraud","Financial Fraud","Urgent: Your bank account is at risk! Verify your details now to avoid suspension: http://secure.india-bankverify.com or call 1800-555-0123 immediately!"
"fraud","Emotional Manipulation","Hi Mom, it’s me. I’m in big trouble and need $800 urgently for legal fees. Please send it now via http://urgent-help247.net. I’m scared, help!"
"fraud","Investment Scams","Urgent! Double your investment in 7 days! Claim your spot now at http://fastprofit-invest.com or call 1800-555-1234. Don’t miss out!"
"normal","Entertainment","Hey, have you seen the trailer for that new action movie? Looks insane! Wanna watch it this weekend?"
"fraud","Investment Scams","Urgent! Double your investment in 7 days with our crypto plan. Limited spots! Click now: http://fastprofit-crypto.org or call 1800-555-1234! Act fast!"
"normal","Family","Hey fam, let’s plan a movie night this weekend. Love you all!"
"fraud","Loan Scam","Urgent! Get a loan of Rs. 10 lakhs today! Limited offer. Click now: http://fast.loan-approve.in or call 9876543210. Don’t miss out!"
"fraud","Service Fraud","Urgent! Your bank account is at risk. Verify now to avoid suspension: http://secure.india-bankcheck.com or call 1800-555-1234 immediately!"
"fraud","Fake Delivery Scam","FedEx: Urgent! Your package delivery failed due to unpaid fee. Pay $3.50 now at http://fedex-securepay.org or call 1-800-555-0123 to avoid return."
"fraud","Job Offer Scam","URGENT! Get hired today & earn $400/day from home! No exp needed. Apply now at http://quickhire.jobsfast.org or call 1-800-555-0123. Hurry!"
"fraud","Investment Scams","Urgent! Invest now & triple your money in 3 days! Limited spots. Click http://fastprofit-invest.com or call 1800-555-0123 to secure your slot! Hurry!"
"fraud","Loan Scam","Urgent! Get a loan of Rs. 10 lakhs instantly. Limited offer! Click now: http://fastcash.loan-secure.in or call 9876543210. Don’t miss out!"
"fraud","Tech Support Scam","Urgent! Your device is at risk of a virus. Secure it now at http://techsafe-protect.com or call 1-800-555-0192 immediately to avoid data loss!"
"normal","Delivery Update","Hey, your order is on its way! Expect delivery by tomorrow evening. Thanks for choosing us!"
"normal","Entertainment","Hey, have you seen the trailer for the new action movie? Looks epic! Wanna watch it this weekend?"
"fraud","Impersonation","Hi, it’s John from HR. Urgent: Verify your payroll details to avoid payment delay. Click now: http://secure.payroll-check.org or call 1-800-555-0123."
"normal","Entertainment","Hey, have you seen the trailer for the new action movie? Looks epic! Let’s watch it this weekend if you’re free."
"fraud","Subscription Scam","Your Amazon Prime subscription is expiring today! Renew now for $12.99 to avoid cancellation: http://prime-renewal-amazon.org Urgent action needed!"
"normal","Delivery Update","Hey, your package is out for delivery! Expect it to arrive by end of day. Thanks for choosing us!"
"normal","Entertainment","Hey, have you seen the trailer for the new action flick? Looks epic! Let’s catch it this weekend if you’re free."
"fraud","Lottery Scam","Congrats! You've won Rs. 5 lakhs in our grand lottery! Claim now before it expires: http://claim.lottery-prizehub.org or call 1800-555-0123. Hurry!"
"fraud","Job Offer Scam","URGENT! Earn $800/day with our remote job offer. No skills needed. Apply now before slots fill: http://join.fastcareers.org or call 1-800-555-0123!"
"fraud","Financial Fraud","Urgent! Your bank account is at risk. Verify your details now at http://secure.bank-protect247.com or call 1-800-555-0123 to avoid suspension!"
"normal","Work Update","Hey, just a heads-up, the team meeting is now at 4 PM tomorrow. See you there!"
"normal","Family","Hey, can we meet up for coffee this weekend? Miss you guys!"
"fraud","Loan Scam","Urgent! Get loan of Rs. 10 lakhs today. Low EMI! Don’t miss out. Click now: http://fastloan.sbi-secure.in or call 9876543210. Hurry, offer ends soon!"
"normal","Education","Hey, just a heads-up, the lecture notes are uploaded on the portal. Check them out before class tomorrow!"
"fraud","Subscription Scam","Urgent! Your Prime subscription is expiring today. Renew now for $9.99 or lose access: http://prime-renewal-offer.com Call 1-800-555-0123 if issues."
"normal","Travel","Hey, just checked in for our Bali trip! Flight’s on time, see you at the gate at 8 AM. Safe travels!"
"fraud","Loan Scam","Urgent! Get a loan of Rs. 10 lakhs today. Limited offer! Click now: http://fastloan.sbi-secure.in or call 9876543210. Don't miss out!"
"fraud","Impersonation","Hi, it’s John from HR. Urgent: Verify your payroll details to avoid suspension. Click now: http://secure-payroll-update.com or call 1-800-555-0123."
"normal","Travel","Hey, just booked our tickets to Bali for next week! Super excited. Let me know if u need help with anything."
"fraud","Emotional Manipulation","Grandma, it’s me. I’m in trouble after a crash. Need Rs. 3000 urgently for hospital bills. Please send to http://helpfamilycare.org now. Hurry!"
"fraud","Service Fraud","Urgent! Your bank account is at risk. Verify now to avoid suspension: http://secure.india-bankverify.com or call 1800-123-4567 immediately!"
"normal","Travel","Hey, just checked in for my flight. Boarding at 7 PM. See you soon!"
"fraud","Service Fraud","Urgent! Your phone service is at risk of suspension. Pay now to avoid disconnection: http://verify.service-mobile.net or call 1800-555-0123 immediately!"
"normal","Entertainment","Hey, have you seen the trailer for the new superhero movie? It looks epic! Wanna watch it together this weekend?"
"fraud","Identity Theft","Urgent! Your bank account is at risk. Verify your identity now at http://secure.bank-protect.in or call 1800-555-1234. Act fast to avoid suspension!"
"fraud","Lottery Scam","Congrats! You've won Rs. 5 lakhs in our lottery! Claim now before it expires: http://win.lottery-rewards.org or call 9876543210. Hurry!"
"fraud","Financial Fraud","URGENT: Your account has a suspicious charge of $300. Secure it now at http://verify.sbi-safe.com or call 1-800-555-0123 immediately!"
"fraud","Financial Fraud","URGENT: Your bank account is at risk! Verify your identity now to avoid suspension at http://secure.bank-alerts.net or call 1-800-555-0123 immediately!"
"fraud","Impersonation","Urgent: This is IRS. Unpaid taxes detected. Avoid legal action, pay now at http://irs-taxsettle.org or call 1-800-555-0123 immediately."
"normal","Social","Hey, saw your latest pic on Insta, looks amazing! Let’s grab a coffee soon. Free this week?"
"normal","Social","Hey, wanna grab lunch tomorrow? I’m free around noon if you are!"
"fraud","Fake Delivery Scam","USPS Alert: Your package delivery failed due to an address error. Update urgently to avoid return: http://usps-fixaddress.com or call 1-800-555-0123!"
"fraud","Lottery Scam","Congrats! You've won Rs. 5 lakhs in our lottery! Claim now before it expires: http://win.lottery-prize.org or call 9876543210. Hurry!"
"fraud","Investment Scams","Urgent! Invest now to triple your money in 48 hrs! Limited spots. Click http://fastprofit-invest.com or call 1-800-555-1234 before it's too late!"
"fraud","Subscription Scam","Urgent: Your Spotify subscription payment failed. Update now to avoid cancellation: http://verify.spotify-payment.org or call 1-800-555-1234!"
"fraud","Financial Fraud","URGENT: Your bank account is at risk! Verify now to avoid suspension at http://secure.bank-check24.com or call 1-800-555-0123 immediately!"
"fraud","Lottery Scam","Congrats! You've won Rs. 5 lakhs in our lottery draw! Claim urgently at http://claim.lottery-prizehub.org or call 9876543210. Hurry, offer expires soon!"
"fraud","Tech Support Scam","Urgent! Your device is at risk of a virus. Call Tech Support now at 1-800-555-0123 or visit http://fixmydevice-tech.com to secure it! Act fast!"
"normal","Travel","Hey, just checked in for our flight to Bali. Boarding at 3 PM. See you at the gate!"
"normal","Family","Hey fam, let’s meet up for pizza this Friday night. Can’t wait to see everyone!"
"normal","Recreation","Hey, wanna join me for a bike ride this Sunday? There’s a cool route by the lake!"
"normal","Service Inquiry","Hey, just checking if you provide home delivery for orders. Let me know! Thanks!"
"fraud","Job Offer Scam","URGENT! Dream job offer: Earn $800/day from home! No skills needed. Apply now at http://quickhire.jobsfast.org or call 1-800-555-0123. Hurry, limited spots!"
"fraud","Subscription Scam","Urgent! Your Amazon Prime subscription is expiring today. Renew now for just $9.99 or lose access: http://renew.prime-subs.net Call 1-800-555-0123 if issues."
"fraud","Job Offer Scam","URGENT JOB OFFER! Earn $10K/month from home. No skills needed. Apply NOW at http://quickhire.workfast.org or call 1-800-555-0123. Don’t miss out!"
"fraud","Lottery Scam","Congrats! You've won Rs. 5 lakhs in our grand lottery! Claim now at http://win.lottery-prize.org or call 9876543210. Hurry, offer expires today!"
"normal","Delivery Update","Hey, your package is on its way! Expect delivery by tomorrow evening. Thanks for choosing us!"
"fraud","Tech Support Scam","Urgent! Your device is at risk of a virus. Call Tech Support now at 1-800-555-0123 or click http://fixmydevice-tech.com to secure it immediately!"
"normal","Entertainment","Hey, the new superhero flick drops this weekend! Wanna catch it together?"
"normal","Travel","Hey, just a heads-up, my flight got delayed by an hour. Will keep you posted!"
"fraud","Job Offer Scam","URGENT! Work-from-home job, earn $800/day. No exp needed. Apply now or miss out: http://quickhire.jobsoffer.net Call 1-800-555-0123 today!"
"fraud","Service Fraud","Urgent! Your phone service is at risk of suspension. Pay now to avoid disconnection: http://verify.service-mobile.com or call 1800-555-0123. Act fast!"
"fraud","Identity Theft","Urgent! Your bank account is at risk. Verify your identity now at http://secure.india-bankcheck.com or call 1800-123-4567 to avoid suspension!"
"normal","Sports","Hey, wanna join us for a quick soccer match this evening?"
"fraud","Job Offer Scam","URGENT! Earn $400/day with our remote job offer. No exp needed. Apply now at http://quickhire.workfast.org or call 1-800-555-0123. Hurry, spots limited!"
"fraud","Emotional Manipulation","Hey Mom, it’s me. I’m in trouble and need $800 for an emergency. Please send it now via http://urgent-help247.com. I’m scared, help!"
"fraud","Fake Delivery Scam","FedEx: Urgent! Your package delivery failed due to unpaid fees. Pay $3.50 now to avoid cancellation: http://fedex-securepay.org or call 1-800-555-0123."
"fraud","Impersonation","Urgent! This is your bank. Suspicious activity detected on your account. Secure it now at http://verify.sbi-protect.com or call 1800-555-1234 immediately!"
"fraud","Service Fraud","Urgent! Your bank account is at risk. Verify now to avoid suspension: http://secure.india-bnkverify.com or call 1800-555-0123 immediately!"
"fraud","Identity Theft","Urgent! Your bank account is at risk. Verify your identity now at http://secure.bank-alerts.in or call 1800-987-6543. Don’t lose your savings!"
"fraud","Financial Fraud","Urgent! Your bank account shows a suspicious charge of $750. Verify now to secure your funds: http://secure.bankalert-check.com or call 1-800-555-0123."
"normal","Work Update","Hey, just a heads-up, team meeting is at 4 PM today. See you there!"
"normal","Service Inquiry","Hey, just checking if you provide home delivery for orders. Can you confirm? Thanks!"
"normal","Service Inquiry","Hey, are your services available this weekend? I’d like to know more. Thanks!"
"fraud","Service Fraud","Urgent! Your bank account is at risk. Verify now to avoid suspension: http://secure.indbank-check.com or call 1800-555-0123 immediately!"
"fraud","Loan Scam","Urgent! Get a loan of Rs. 10 lakhs today! Limited offer. Click to apply: http://fastcash.loan-secure.in or call 9876543210 now! Don’t miss out!"
"fraud","Lottery Scam","Congrats! You've won Rs. 5 lakhs in our lottery draw! Claim now before it expires: http://claim.lotterywinz.org or call 9876543210. Hurry!"
"fraud","Investment Scams","Urgent! Invest now and triple your money in days! Limited spots. Click http://fastprofit-invest.com or call 1-800-555-0123 to secure your future!"
"normal","Service Inquiry","Hey, just checking if you provide home delivery for orders. Let me know, thanks!"
"normal","Family","Hey fam, let’s plan a movie night this weekend. Thoughts?"
"normal","Service Inquiry","Hey, just wanted to check if you provide home delivery for orders. Let me know! Thanks!"
"fraud","Impersonation","Hi, this is John from HR. Urgent: Verify your payroll details to avoid suspension at http://secure.payroll-check.org or call 1-800-555-0123 now!"
"fraud","Financial Fraud","URGENT: Your account is at risk! Verify now to avoid suspension at http://secure.bank-alerts.net or call 1-800-555-0123 immediately!"
"normal","Entertainment","Hey, have u seen the trailer for the new action flick? It looks insane! Wanna catch it this weekend?"
"fraud","Financial Fraud","URGENT: Your bank account is at risk! Verify now to avoid suspension: http://secure.bank-alerts.net or call 1-800-555-0123 immediately!"
"normal","Recreation","Hey, wanna join me for a quick bike ride this evening? Found a cool route nearby!"
"fraud","Subscription Scam","Urgent! Your Prime subscription is expiring. Renew now for $9.99 or lose access. Click: http://renew.prime-account.org or call 1-800-555-0123. Hurry!"
"normal","Family","Hey fam, let’s plan a movie night this weekend. What do u think?"
"normal","Social","Hey, wanna grab lunch tomorrow? Thinking around 1 PM if you’re free!"
"fraud","Loan Scam","Urgent! Get a loan of Rs. 10 lakhs instantly. Limited offer! Click now to approve: http://fastloan.sbi-secureapply.co.in or call 9876543210. Hurry!"
"fraud","Tech Support Scam","Urgent! Your device is at risk of hacking. Call Tech Support now at 1-800-555-0123 or click http://fixmydevice-tech.com to secure it! Act fast!"
"fraud","Service Fraud","Urgent: Your bank account is at risk! Verify now to avoid suspension: http://secure.india-bankverify.com or call 1800-555-1234 immediately!"
"fraud","Loan Scam","Urgent! Get a loan of Rs. 10 lakhs today. Limited offer! Click now: http://fast.loan-secure.in or call 9876543210. Don’t miss out!"
"fraud","Emotional Manipulation","Grandma, it’s me. I’m in trouble after a crash. Need $800 for medical bills urgently. Please send to http://helpfamily-emergency.net. Hurry!"
"normal","Entertainment","Hey, the new season of [TV show] just dropped! Wanna binge it together this weekend?"
"normal","Recreation","Hey, wanna join me for a bike ride this Sunday? Found an awesome trail nearby!"
"fraud","Phishing","Urgent! Your SBI account is at risk due to unusual activity. Secure it now at http://secure.sbi-verify.com or call 1800-555-1234 immediately!"
"normal","Recreation","Hey, wanna join me for a bike ride this Sunday? Found an awesome route nearby!"
"fraud","Job Offer Scam","URGENT! Earn $400/day from home. No skills needed. Limited spots! Apply now: http://quickhire.workfast.org or call 1-800-555-0123. Hurry!"
"fraud","Phishing","Urgent: Your SBI account is at risk! Verify identity now at http://secure.sbi-check.in or call 1800-555-1234. Act fast to avoid suspension!"
"normal","Education","Hey, just a reminder that our group project is due this Friday. Let’s meet up tomorrow to finalize it!"
"normal","Work Update","Hey, just a heads-up, the client call is set for 11 AM tomorrow. Pls be ready!"
"normal","Travel","Hey, just booked our tickets to Bali for next week! Super excited. Let me know if you wanna add anything to the plan."
"normal","Work Update","Hey, just a reminder to update your timesheet by EOD. Thanks!"
"normal","Family","Hey fam, let’s catch up this weekend. Miss you all!"
"fraud","Identity Theft","Urgent! Your bank account is at risk. Verify your identity now at http://secure.bank-india-check.com or call 1800-555-1234 to avoid suspension!"
"normal","Family","Hey, just checking in. Wanna grab lunch this weekend? Let me know!"
"normal","Family","Hey fam, let’s meet up for a movie night this Friday! Love ya!"
"fraud","Tech Support Scam","Urgent! Your device is at risk of a virus. Call Tech Support now at 1-800-555-0199 or visit http://fixmydevice-tech.com to secure it before it's too late!"
"fraud","Lottery Scam","Congrats! You've won Rs. 5 lakhs in our Grand Lottery! Claim now before it expires: http://claim.lottery-rewards.org or call 1800-555-1234. Hurry!"
"fraud","Impersonation","Hi, this is John from HR. Urgent: Verify your payroll details to avoid payment delay at http://secure.payroll-check.org or call 1-800-555-0123 now!"
"normal","Work Update","Hey team, quick update—our next meeting is set for tomorrow at 10 AM. See you there!"
"normal","Recreation","Hey, wanna join me for a quick bike ride around the lake tomorrow? Should be fun!"
"fraud","Impersonation","Hi, it’s your boss, Mark. Urgent: Need you to buy $300 in gift cards for a client now. Send codes to 555-0123 or confirm at http://secure.clientgifts.org"
"fraud","Emotional Manipulation","Hi Mom, I’m in trouble! I need $800 urgently for an emergency. Please send it now via http://quickpay.relief-help.org. Hurry, I’m scared!"
"normal","Recreation","Hey, wanna join me for a quick bike ride this evening? There’s a cool trail nearby!"
"normal","Delivery Update","Hey, your order is out for delivery! Expect it to arrive by 6 PM today. Thanks for choosing us!"
"fraud","Fake Delivery Scam","Urgent: Your FedEx package is delayed due to address error. Update now to avoid cancellation: http://fedex-secure-update.com or call 1-800-555-1234!"
"normal","Entertainment","Hey, have you seen the trailer for the new action movie? Looks epic! Let’s watch it this weekend if you’re free."
"fraud","Identity Theft","Urgent! Your identity is at risk. Verify your details now to prevent fraud: http://secure.identity-check.org or call 1800-555-0123 immediately!"
"normal","Work Update","Hey team, just a heads-up, our next meeting is set for tomorrow at 10 am. See you there!"
"fraud","Investment Scams","Urgent! Invest now and triple your money in days! Limited spots. Click http://fastprofit-invest.com or call 1-800-555-1234 before it's too late!"
"normal","Service Inquiry","Hey, do you guys provide home delivery? I’d like to place an order if possible. Thanks!"
"normal","Recreation","Hey, wanna join me for a quick bike ride this evening? Found a cool route nearby!"
"fraud","Phishing","Urgent: Your HDFC account is at risk! Verify now to avoid suspension: http://secure.hdfc-check.com or call 1800-123-4567 immediately!"
"normal","Social","Yo, saw your latest pic on Insta, looks amazing! Let’s hang out soon. How’s Friday at 6?"
"normal","Entertainment","Hey, the new season of [TV show] just dropped! Have you started watching it yet? Let me know!"
"fraud","Fake Delivery Scam","Urgent! Your package delivery failed due to address error. Update now to avoid return: http://verify.postal-track.com or call 1800-555-1234! Hurry!"
"normal","Education","Hey, class is canceled today. Check the portal for updates on the next session!"
"normal","Work Update","Hey, just a heads-up, the client meeting is rescheduled to tomorrow at 10 AM. See you there!"
"fraud","Phishing","Urgent! Your HDFC account is at risk. Verify identity now to avoid suspension: http://hdfc-secure-login.net or call 1800-123-4567 immediately!"
"normal","Delivery Update","Hey, your package is out for delivery! Expect it to arrive by end of day. Thanks for choosing us!"
"normal","Delivery Update","Hey! Your package is on its way and should be delivered by tomorrow. Thanks for choosing us!"
"fraud","Subscription Scam","Your Amazon Prime subscription is expiring today! Renew now for $12.99 or lose access. Click urgent: http://prime-renewal.amazon-subs.net"
"fraud","Fake Delivery Scam","Urgent: Your FedEx package delivery failed due to unpaid fees. Pay $3.99 now to avoid return: http://fedex-securepay.org or call 1-800-555-0123!"
"normal","Entertainment","Hey, did you catch the new season of [TV show]? It’s so good! Let’s chat about it later. 😊"
"fraud","Investment Scams","Urgent! Invest now & triple your money in 5 days! Don’t miss out. Click http://fastprofit-invest.com or call 1-800-555-0123 to secure your spot!"
"normal","Work Update","Hey team, just a heads-up—our meeting is rescheduled to tomorrow at 10 AM. See you there!"
"normal","Social","Hey, saw your latest pic on Insta, looks amazing! Let’s catch up soon. How’s Friday for you?"
"fraud","Identity Theft","Urgent! Your bank account is at risk. Verify your identity now at http://secure.india-bankverify.com or call 1800-555-1234. Act fast to avoid suspension!"
"normal","Education","Hey, reminder to submit your project by Friday. Let me know if you need help!"
"fraud","Emotional Manipulation","Hi Grandma, it’s me. I’m in trouble after a car crash. Please send Rs. 10,000 urgently for hospital bills via http://helpfamilycare.org. Hurry!"
"fraud","Identity Theft","Urgent! Your identity is at risk. Verify your details now to secure your account at http://secure.id-protect247.com or call 1800-555-1234 immediately!"
"fraud","Subscription Scam","Urgent! Your Netflix subscription is expiring today. Renew now for $9.99 or lose access. Click: http://renew.netflix-securepay.org or call 1-800-555-0123!"
"fraud","Lottery Scam","Congrats! You've won Rs. 5 lakhs in our grand lottery! Claim now before it expires: http://win.lottery-prize.org or call 9876543210. Hurry!"
"fraud","Service Fraud","Urgent! Your bank account is at risk. Verify now to avoid suspension: http://secure.bankalert-india.com or call 1800-555-0123 immediately!"
"normal","Work Update","Hey team, just a heads-up, our next meeting is scheduled for tomorrow at 10 AM. See you there!"
"fraud","Service Fraud","Urgent! Your bank account is at risk. Verify now to avoid suspension: http://secure.indbank-check.com or call 1800-555-0123 immediately!"
"fraud","Loan Scam","Urgent! Get a loan of Rs. 10 lakhs today at 0% interest. Limited offer! Click now: http://fastloan.sbi-secure.in or call 9876543210. Hurry!"
"fraud","Impersonation","Hi, it’s your boss, Mark. Urgent! Need you to transfer $1,000 for a client. Click now: http://secure.payment-express.org or call 1-800-555-0123. Hurry!"
"normal","Service Inquiry","Hey, just wanted to check if you provide home delivery for your products. Can you confirm? Thanks!"
"normal","Service Inquiry","Hi, could you let me know if you provide home delivery for orders? Thanks!"
"normal","Sports","Hey, wanna catch the football match tonight? It’s gonna be epic!"
"normal","Travel","Hey, just confirmed our hotel for the Italy trip. Can’t wait! Let me know if you’ve got any preferences."
"fraud","Fake Delivery Scam","Urgent: Your package delivery failed due to unpaid fees. Pay now to avoid cancellation: http://secure.delivery-fee.org/pay or call 1800-555-0123. Hurry!"
"fraud","Loan Scam","Urgent! Get a loan of Rs. 10 lakhs today. Limited offer! Click to apply: http://fastloan.sbi-secureapply.co.in or call 9876543210. Hurry, don’t miss out!"
"fraud","Impersonation","Hi, this is John from HR. Urgent: Verify your payroll details to avoid suspension at http://secure.hr-paycheck.org or call 1-800-555-0123 now!"
"fraud","Service Fraud","Urgent! Your bank account is at risk. Verify now to avoid suspension: http://secure.bankalerts-india.com or call 1800-555-0123 immediately!"
"fraud","Service Fraud","Urgent! Your bank account is at risk. Verify now to avoid suspension: http://secure.axisbank-check.com or call 1800-555-1234 immediately!"
"fraud","Financial Fraud","Urgent! Your account has a suspicious charge of $750. Verify now to secure it: http://secure.bank-alerts.net or call 1-800-555-0123 immediately!"
"fraud","Tech Support Scam","Urgent: Your device is at risk of a virus! Call Tech Support now at 1-800-555-0123 or visit http://fixmydevice-tech.com to secure it before it's too late!"
"fraud","Fake Delivery Scam","FedEx: Urgent! Your package delivery failed due to an unpaid fee of $3.50. Update now to avoid return: http://fedex-tracksecure.com/pay or call 1-800-555-0123"
"normal","Recreation","Hey, wanna join me for a bike ride this Sunday? There’s a cool route by the lake!"
"normal","Sports","Hey, wanna catch the soccer match tonight? It’s gonna be epic! Let me know!"
"fraud","Service Fraud","Urgent! Your bank account is at risk. Secure it now at http://verify.sbi-protect.com or call 1800-555-0123 immediately to avoid suspension!"
"fraud","Job Offer Scam","URGENT! Earn $800/day with our remote job. No skills needed! Apply now before slots fill: http://quickhire.workfromhome.io Call 1-800-555-0123 ASAP!"
"normal","Sports","Hey, wanna catch the football match tonight at my place? Kickoff’s at 8!"
"normal","Recreation","Hey, wanna join me for a quick bike ride this evening? There's a cool route near the lake!"
"normal","Delivery Update","Hey, your package is on the way! Expect delivery by tomorrow. Thanks for choosing us!"
"fraud","Impersonation","Hi, it’s your boss. Urgent: I need $300 in gift cards for a client. Buy now and send codes to me. Verify at http://secure.employeetasks.org"
"fraud","Job Offer Scam","URGENT! Earn $400/day from home. No skills needed. Limited spots! Apply now at http://quickhire.workfast.org or call 1-800-555-0123. Hurry!"
"fraud","Impersonation","Hi, it’s John from HR. Urgent: Verify your payroll details now to avoid payment delay. Click: http://secure.payroll-check.org or call 1-800-555-0123."
"normal","Sports","Hey, did u catch the football game last night? That last-minute goal was insane!"
"normal","Education","Hey, don’t forget the project deadline is this Friday. Let’s finish strong!"
"fraud","Tech Support Scam","Urgent! Your device is infected with malware. Secure it now at http://techsafe-guard.com or call 1-800-555-0123 before it’s too late!"
"normal","Delivery Update","Hey, your package from us is on its way! Expect delivery by tomorrow. Thanks for choosing us!"
"normal","Work Update","Hey team, just a heads-up, the project kickoff is set for Monday at 10 AM. See you there!"
"fraud","Job Offer Scam","URGENT! Earn $400/day from home. No skills needed. Apply now before spots are gone: http://quickhire.workfast.org or call 1-800-555-1234! Hurry!"
"normal","Service Inquiry","Hey, can you tell me if you provide home delivery for orders? Thanks!"
"normal","Service Inquiry","Hey, just checking if you provide home delivery for orders. Let me know! Thanks!"
"normal","Entertainment","Hey, the new season of [Show Name] just dropped! Wanna binge it together this weekend?"
"fraud","Service Fraud","Urgent! Your bank account is at risk. Verify now to avoid suspension: http://secure.india-bankverify.com or call 1800-123-4567 immediately!"
"normal","Family","Hey fam, let’s catch up this weekend. Miss you all!"
"normal","Travel","Hey, just a heads-up, our train to Shimla is on time. See you at the station at 8 AM!"
"normal","Travel","Hey, just a heads-up, I’ve confirmed our tickets to Bali for next week. Can’t wait! Let me know if you’re good with the dates."
"normal","Travel","Hey, just booked our tickets to Bali for next week! Super excited. Let me know if you wanna add anything to the plan."
"fraud","Job Offer Scam","URGENT! Earn $800/day with our remote job offer. No exp needed. Apply now or lose this chance: http://quickhire.jobsfast.org Call 1-800-555-0123!"
"fraud","Investment Scams","Urgent! Double your investment in 24 hrs! Claim now at http://fastwealth-grow.com or miss out forever. Call 1800-555-0123 for details! Hurry!"
"fraud","Loan Scam","Urgent! Get a loan of Rs. 10 lakhs instantly. Limited offer! Click now: http://fastloan.sbi-secureapply.co.in or call 9876543210. Don’t miss out!"
"normal","Education","Hey, reminder that the group project is due this Friday. Let’s meet up tomorrow to finalize it!"
"fraud","Emotional Manipulation","Hey Mom, I’m in trouble! Got into an accident and need $800 for urgent surgery. Please send it now via http://helpfamilyfund.org. Hurry, I’m scared!"
"normal","Family","Hey fam, just checking in. How about a movie night this Friday? Let me know! Love ya!"
"normal","Entertainment","Hey, have u seen the trailer for the new action movie? Looks epic! Wanna catch it this weekend?"
"normal","Social","Hey, are you free for a quick chat this evening? Miss catching up with you!"
"fraud","Phishing","Alert! Unusual activity detected on your HDFC account. Secure it now at http://hdfc-secure-login.com or call 1800-123-4567 urgently!"
"normal","Delivery Update","Hey, your package is out for delivery! Expect it to arrive by 6 PM today. Thanks for choosing us!"
"normal","Education","Hey, reminder to submit your project by Friday. Let me know if you need any help!"
"fraud","Loan Scam","Urgent! Get a loan of Rs. 10 lakhs today at 2% interest. Don’t miss out! Apply now: http://fast.loan-approval.indiafin.com or call 9876543210. Hurry!"
"normal","Family","Hey fam, let’s catch up over pizza this Friday night! See ya there."
"fraud","Emotional Manipulation","Grandma, it’s me. I’m in trouble and need $800 for an emergency. Please help now at http://urgent.family-aid.net or call 1-800-555-0123. Hurry!"
"normal","Social","Hey, wanna grab lunch tomorrow? I’m free around noon if you are!"
"fraud","Job Offer Scam","URGENT! High-paying remote job, $600/day. No experience needed. Apply NOW before slots fill: http://fast-hire.jobsoffertoday.com Call 1-800-555-0123!"
"fraud","Emotional Manipulation","Hey, it’s your nephew. I’m in big trouble and need $800 urgently for legal fees. Please send it now via http://quickhelp-family.org. Hurry!"
"fraud","Emotional Manipulation","Hey Mom, I’m in trouble! Got into an accident and need $800 for medical bills urgently. Please send to http://helpfamily-aid.org now. I’m scared!"
"normal","Travel","Hey, just booked our tickets to Bali for next week. Super excited! Let me know if you’re good with the dates."
"normal","Recreation","Hey, wanna join me for a quick bike ride around the lake this evening? Should be fun!"
"fraud","Impersonation","Hi, it’s John from HR. Urgent: Verify your payroll details now to avoid payment delay. Click http://secure.payroll-check.org or call 1-800-555-0123 ASAP!"
"fraud","Lottery Scam","Congrats! You've won Rs. 5 lakhs in our Mega Lottery! Claim now at http://win.lottery-rewards.org or call 9876543210. Hurry, offer expires today!"
"normal","Work Update","Hey, just a heads-up, the team meeting is now at 11 AM tomorrow. See you there!"
"fraud","Fake Delivery Scam","Urgent: Your package delivery failed due to an address error. Update now to avoid return: http://verify.postal-update24.com or call 1800-555-1234!"
"fraud","Subscription Scam","Urgent: Your Prime subscription is expiring today! Renew now for $9.99 or lose access. Click: http://prime-renewal-secure.org or call 1-800-555-0123."
"normal","Family","Hey fam, can we plan a movie night this Friday? Let me know!"
"fraud","Tech Support Scam","Urgent! Your device is infected with a virus. Call Tech Support now at 1-800-555-0123 or visit http://fixmydevice-tech.com to secure it! Hurry!"
"fraud","Job Offer Scam","URGENT! Earn $400/day from home. No exp needed. Limited spots! Apply now at http://quickhire.workfast.org or call 1-800-555-0123. Hurry!"
