"Type","Category","Message"
"fraud","Job Offer Scam","DREAM JOB! Earn ₹70,000/month from home. Hurry, apply at http://indiajobsecure.in today!"
"fraud","Loan Scam","Instant Rs. 8 lakhs loan at 2% rate. Act fast! Click: http://urgentmoney.loanverify.co.in or miss this golden opportunity!"
"normal","Service Inquiry","Hey, is my internet installation scheduled for this week?"
"fraud","Financial Fraud","ALERT: Your Bank of Baroda account is compromised. Secure it at http://bob-protectnow.com or call 1800-321-9876!"
"fraud","Tech Support Scam","Urgent! Hacker alert on your device. Secure it at http://fixdevice-india.com or lose everything!"
"fraud","Subscription Scam","Don’t miss out! Your Spotify India Premium ends today. Update now: http://spotify-indiapay.com"
"normal","Entertainment","Yo, the new SRK movie trailer dropped. Let’s plan a first-day show!"
"fraud","Fake Delivery Scam","DHL Alert: Your shipment is delayed. Confirm details at http://dhl-indiaupdate.com or risk losing your package!"
"fraud","Tech Support Scam","Urgent! Virus detected on your phone. Click http://techsafe-india.com to fix or lose all files!"
"fraud","Impersonation","ICICI Bank: Your card is locked! Unlock it at http://icici-verifyaccess.com before it’s too late!"
"fraud","Service Fraud","Alert! Your mobile service is at risk of termination. Pay now at http://safe.mobilebill-india.com to avoid disconnection!"
"fraud","Investment Scams","Last chance! ₹1000 investment = ₹10000 profit. Act fast: http://rapidrich-india.com"
"normal","Sports","India’s wrestling champ won gold at the Commonwealth Games! Proud!"
"normal","Work Update","Hey, let’s get the Diwali campaign ideas ready by Wednesday."
"normal","Delivery Update","Yo, your package is out for delivery! Look for it around 4 PM in Bangalore."
"normal","Recreation","Hey, wanna try paragliding in Manali next month? Let’s plan it!"
"normal","Family","Bro, can you help me fix my bike? Let’s meet at the garage."
"normal","Family","Hey fam, let’s plan a Diwali get-together at home. Ideas for menu?"
"normal","Sports","Man, that Kohli century in the last ODI was unreal! Thoughts?"
"normal","Work Update","Hey, got a quick update – training session is on Friday at 3 PM."
"fraud","Emotional Manipulation","Didi, I’m stuck in Mumbai, no money for food. Please send Rs. 2,500 via http://save-sister.co. I’m crying for help!"
"fraud","Phishing","Critical! Unauthorized access to your Axis Bank account. Click http://axis-safetyverify.com to secure it now!"
"normal","Social","Let’s catch up over some cutting chai at the tapri. Free this weekend?"
"fraud","Service Fraud","Urgent! Your internet pack is expiring. Renew immediately at http://quick.datapack-restore.in or lose access!"
"normal","Service Inquiry","Hi, do you offer AC servicing in Mumbai? Need a slot soon."
"normal","Sports","Yo, did you see the IPL match last night? CSK’s last over was epic!"
"fraud","Lottery Scam","Win Alert! $20,000 prize in India Mega Lotto! Claim at http://megalotto.indiawin.co before expiry!"
"normal","Education","Hey, new timetable is up on the college portal. Check it out!"
"normal","Family","Reminder: Uncle’s housewarming puja this Sat. Don’t forget!"
"normal","Delivery Update","Hey there, your item is coming! Scheduled for delivery this afternoon in Chennai."
"fraud","Financial Fraud","WARNING: Your PNB account shows a Rs. 10,000 debit. Confirm at http://pnb-checknow.com or risk legal action!"
"normal","Entertainment","Just found a sick Punjabi track. Sending it now, check it out!"
"normal","Travel","Hey, got our bus tickets for the Manali trip. Pack warm, it’s gonna be chilly!"
"fraud","Fake Delivery Scam","Urgent: Your Myntra order shipment is delayed. Confirm at http://myntra-shipmentfix.in or lose your item!"
"fraud","Investment Scams","Don’t wait! Gold investment offer ends today. Earn big! Go to: http://goldrush-india.net"
"fraud","Identity Theft","Warning! Your personal data is exposed. Protect it at http://id-guardindia.co or face legal action!"
"normal","Education","Quick heads-up, Chem lab shifted to 2 PM today. Be on time!"
"fraud","Phishing","URGENT! Your SBI account is at risk. Secure it now at http://sbi-protectnow.in or call 1800-123-9876. Don’t delay!"
"normal","Sports","Hey, wanna join for a quick football match at the school ground?"
"normal","Delivery Update","Hey, your package is on its way! Should be at your door by noon in Ahmedabad."
"normal","Work Update","Yo, meeting with the Delhi team is at 11:30 AM via Zoom. Join in!"
"fraud","Phishing","Warning! Your Paytm wallet is compromised. Reset password at http://paytm-safeguard.in or risk losing funds!"
"fraud","Tech Support Scam","Immediate Action! Malware detected. Click http://safetech-india247.com to save your files now!"
"normal","Travel","Hi, checked into a heritage hotel in Udaipur. Feels like royalty! Pics soon."
"normal","Delivery Update","Hey, your parcel is on the move! Expected by tomorrow evening in Hyderabad."
"normal","Family","Just checked on Ma, she’s fine. Thought you’d wanna know."
"fraud","Emotional Manipulation","Papa, I’m stranded in Bangalore. Need Rs. 4,800 for a bus ticket. Use http://travel-safe.in. Please don’t ignore!"
"normal","Delivery Update","Hey, your order is on its way! Expect delivery by evening today in Mumbai."
"fraud","Service Fraud","Immediate Alert! Your internet service is blocked. Pay at http://quickfix.netpay-india.net to regain access!"
"fraud","Investment Scams","Urgent! Crypto spike! Invest ₹200 for ₹2000 return. Click: http://bitwealth-desi.com"
"normal","Service Inquiry","Hi, are there any available slots for fridge repair today?"
"fraud","Job Offer Scam","HIRING FAST! ₹38,000/month online work. Last chance! Visit: http://workfromhomechennai.com"
"normal","Education","Reminder: Pay hostel fees by this week to avoid penalty."
"fraud","Service Fraud","Warning! Your data pack is inactive. Reactivate at http://urgent.datapay-india.in or lose connectivity!"
"normal","Recreation","Yo, found a cool pottery workshop in Jaipur. Wanna sign up together?"
"fraud","Identity Theft","Urgent Action! Protect your Aadhaar at http://aadhaar-verifynow.in or face penalties from UIDAI!"
"normal","Travel","Hey, just booked our stay at a cozy homestay in Kerala. Backwaters trip soon! Thoughts?"
"normal","Family","Sis, need your help with picking a saree for the wedding. Call me?"
"normal","Work Update","Hey guys, let’s finish the app testing by tomorrow noon. Cool?"
"fraud","Impersonation","Income Tax Dept: Your refund is pending! Avoid delay, confirm details at http://taxrefund-india.co. Hurry!"
"fraud","Tech Support Scam","Alert! Your phone is compromised. Call 1800-321-4567 now to avoid losing personal info in India!"
"fraud","Job Offer Scam","DREAM OFFER! ₹35,000/month WFH job. Immediate start. Don’t delay, visit: http://indiaremotejob.in"
"fraud","Emotional Manipulation","Bhaiya, I’m in deep trouble. Lost everything, need Rs. 3,000 to eat. Send to http://help-brother.in. Don’t let me down!"
"fraud","Tech Support Scam","Critical Alert! Your device is infected with malware. Call 1800-456-7890 now to prevent data theft in India!"
"fraud","Job Offer Scam","JOB SCAM ALERT! ₹25,000/month WFH. Don’t wait! Click now: http://easyhirepune.net or miss out."
"normal","Recreation","Hi, wanna cycle around the lakes in Udaipur this weekend? Got bikes!"
"normal","Travel","Hey, reached Bangalore. Traffic on MG Road is insane. Will call once free."
"fraud","Identity Theft","Urgent! Identity theft reported on your PAN. Verify at http://pan-securehub.com to prevent fraud!"
"normal","Entertainment","Bro, Comic Con is happening in Delhi next week. You coming?"
"normal","Entertainment","Yo, did you see the latest IPL highlights? Let’s chat over chai!"
"normal","Service Inquiry","Hi, do you provide doorstep car washing in Bangalore?"
"normal","Education","Reminder: Library fines start tomorrow. Return books ASAP!"
"fraud","Fake Delivery Scam","DTDC Notice: Your package is stuck. Pay ₹100 fee at http://dtdc-quickpay.in to avoid return to origin!"
"normal","Work Update","Reminder, submit your timesheets by tonight. HR is on our case!"
"normal","Entertainment","Heard a crazy good indie band from Mumbai. I’ll share the playlist!"
"normal","Entertainment","Wanna join for a karaoke night at a local cafe in Bangalore? So fun!"
"normal","Work Update","Reminder, office is closed tomorrow for Ganesh Chaturthi. Enjoy!"
"fraud","Lottery Scam","Congrats! Rs. 4 lakhs is yours from Rajasthan Draw! Secure it at http://rajlottery.cashnow.in today!"
"fraud","Subscription Scam","Warning! Your JioCinema subscription payment failed. Avoid deactivation: http://jiocinema-urgentpay.net"
"fraud","Lottery Scam","Shocking! You’ve won Rs. 2 lakhs in Delhi Lottery! Hurry to http://delhiprize.quickwin.net now!"
"fraud","Loan Scam","Emergency! Rs. 10 lakhs loan approved for you. No paperwork! Visit: http://easyfunds.secureapply.in or call 9123456789."
"fraud","Fake Delivery Scam","Amazon India: Urgent! Pay ₹99 delivery fee at http://amazon-indiafee.in to avoid cancellation of your order!"
"fraud","Investment Scams","Time’s running out! Invest in mutual funds for 400% returns. Go: http://fundsurge-india.net"
"normal","Recreation","Hey, let’s plan a picnic at Lodhi Gardens. I’ll pack some parathas!"
"fraud","Loan Scam","Crisis? Get Rs. 6 lakhs loan today! No credit needed. Apply: http://instantloan.indiahelp.net before time runs out!"
"fraud","Lottery Scam","Time’s up! Rs. 9 lakhs lottery win! Click http://fastcash.indialotto.net to avoid losing it!"
"normal","Work Update","Yo, team lunch at the dhaba near office at 1 PM. Don’t miss it!"
"fraud","Subscription Scam","Last chance! Your Zee5 subscription expires tonight. Renew at: http://zee5-renewfast.in"
"normal","Travel","Hi, got the IRCTC tickets for our Varanasi trip. Ganga aarti, here we come!"
"normal","Education","Hey, seminar on AI at IIT Delhi tomorrow. Wanna join?"
"fraud","Impersonation","SBI Alert: Suspicious activity on your account. Secure it now at http://sbi-safetycheck.com. Don’t wait!"
"fraud","Job Offer Scam","EMERGENCY HIRING! ₹30,000/month online job. Miss this & regret! Click: http://securejobkolkata.org"
"normal","Sports","Hey, let’s watch the India-Pakistan cricket game at my place tomorrow!"
"normal","Delivery Update","Hi, your delivery is en route. Keep an eye out for it by 2 PM in Kolkata."
"fraud","Service Fraud","Urgent Notice! Your phone line will be disconnected. Pay now at http://instant.billsecure-india.com!"
"normal","Entertainment","Hey, the new Bollywood blockbuster is out this Friday. Wanna catch it at PVR?"
"normal","Recreation","Hey, let’s go for a morning jog at India Gate this Sunday. You in?"
"normal","Delivery Update","Hi, your parcel has been dispatched. Should reach you by tomorrow morning in Delhi."
"fraud","Subscription Scam","Alert! Your Hotstar account will be suspended today. Update payment details at: http://hotstar-fixpay.in"
"fraud","Job Offer Scam","WORK FROM HOME! ₹60,000/month. Limited seats. Register at http://indiahirefast.co before it’s gone!"
"normal","Education","Yo, anyone free to discuss tomorrow’s Maths assignment?"
"fraud","Loan Scam","Alert! Rs. 9 lakhs loan at 1.8% rate. Final hours! Visit: http://fastaccess.loansecure.co.in or miss this deal!"
"normal","Service Inquiry","Hey, can you share the latest rates for your home cleaning services?"
"fraud","Loan Scam","Alert! Rs. 3 lakhs personal loan ready. Don’t delay! Apply now: http://fastloan.indiadeal.com before offer expires!"
"normal","Travel","Yo, reached Goa! The beaches are calling. Let’s plan a meet-up tomorrow."
"normal","Family","Hey all, I’m making biryani this Sunday. Drop by if you’re free!"
"normal","Education","Don’t forget, project submission is on Friday. Get it ready!"
"fraud","Lottery Scam","Lucky Day! Rs. 8 lakhs won in National Draw! Visit http://nationallotto.prizehub.in to claim urgently!"
"fraud","Impersonation","Urgent from PAN Card Office: Update your details to avoid deactivation. Visit http://pan-updateindia.org now!"
"fraud","Loan Scam","Need money? Rs. 7 lakhs loan waiting for you! Apply: http://quickfunds.indialoan.live or call 9087654321 now!"
"normal","Sports","Yo, let’s cheer for RCB tonight at the sports bar. You in?"
"normal","Sports","Bro, wanna play gully cricket this evening near the colony ground?"
"fraud","Investment Scams","Emergency! Stock market boom! Double your money today. Visit: http://bseprofit-secure.in"
"fraud","Financial Fraud","DANGER: Fraud detected on your IDBI account. Verify identity at http://idbi-safeguard.com before funds are lost!"
"fraud","Lottery Scam","Alert! Rs. 3 lakhs from Mumbai Lotto is yours! Act quick at http://mumbailottery.winzone.co or miss out!"
"normal","Delivery Update","Hi, your shipment is out. Expect it by this evening near Jaipur."
"fraud","Financial Fraud","ALERT: Rs. 25,000 transfer initiated from your Kotak account. Block it at http://kotak-stopfraud.com now!"
"normal","Service Inquiry","Hey, can I book a plumber for tomorrow in Delhi?"
"fraud","Fake Delivery Scam","Amazon India: Your delivery failed. Pay ₹150 fee now at http://amazon-deliverypay.in to prevent return to sender!"
"normal","Social","Just saw your Diwali pics on Insta. Looking fab in that lehenga!"
"fraud","Phishing","Critical! Suspicious activity on your Jio account. Confirm identity at http://jio-safelogin.in or lose service!"
"fraud","Impersonation","GST Dept: Unpaid dues detected. Avoid penalty, pay now at http://gst-settleindia.in. Immediate action required!"
"fraud","Phishing","Immediate action needed! Your PNB account is under threat. Visit http://pnb-urgentsecure.com to protect it."
"fraud","Loan Scam","Urgent! Rs. 15 lakhs loan approved instantly. No hidden fees! Click: http://bigcash.securefund.in or call 9876543210."
"normal","Social","Hey, got any plans for Holi? Let’s team up for the color party!"
"normal","Service Inquiry","Hi, can you send me details of your pest control packages?"
"fraud","Identity Theft","Help! Your personal info is stolen. Save it at http://secure-identity.in or risk losing everything!"
"normal","Recreation","Yo, there’s a kite-flying event on Makar Sankranti. Join me on the terrace?"
"fraud","Financial Fraud","ALERT: Rs. 50,000 withdrawn from your HDFC account. Stop it at http://hdfc-securestop.com before it’s too late!"
"fraud","Phishing","Alert! Your HDFC Bank login was detected. Verify identity at http://hdfc-securecheck.co.in to prevent suspension."
"fraud","Phishing","Hurry! Your Flipkart account is about to be locked. Update info at http://flipkart-verifyfast.com to avoid issues."
"normal","Work Update","Hey, client call scheduled for 2 PM today. Be ready with the updates!"
"normal","Recreation","Yo, there’s a fun mela at the town square this weekend. Wanna join me?"
"fraud","Lottery Scam","Urgent! Rs. 10 lakhs lottery prize awaits! Click http://indialuckydraw.net before 11 PM tonight!"
"normal","Family","Bro, can you pick up some samosas on your way? Craving them!"
"normal","Recreation","Hey, let’s hit the local cricket ground for a quick match this evening. Bring your bat!"
"fraud","Financial Fraud","URGENT: Final notice for unpaid loan with Axis Bank. Pay now at http://axis-debtclear.in or call 1800-987-6543!"
"fraud","Subscription Scam","Emergency! Your SonyLIV account is at risk. Secure it now via: http://sonyliv-secureindia.org"
"normal","Work Update","Quick heads up, boss wants the sales figures by 5 PM today."
"fraud","Emotional Manipulation","Uncle, emergency! I’m in an accident, need Rs. 7,000 for hospital. Send to http://medical-aidnow.in. Please save me!"
"normal","Social","How was your day? Text me when you’re back from the office."
"fraud","Identity Theft","Danger! Someone is using your Aadhaar. Secure it at http://aadhaar-protectnow.in before it’s too late!"
"fraud","Emotional Manipulation","Mom, I’m terrified! Lost my wallet, need Rs. 4,000 to reach home. Use http://safe-return.in. I’m begging you!"
"normal","Delivery Update","Yo, your delivery is coming! Should arrive by 3 PM today in Lucknow."
"fraud","Subscription Scam","Alert! Payment failed for your Amazon Prime Video. Avoid suspension: http://primevideo-indiafix.net"
"fraud","Service Fraud","Critical! Your mobile data will be cut off today. Pay at http://fast.recharge-safe.in to restore services!"
"fraud","Service Fraud","Warning! Your phone line will be blocked in 24 hrs. Pay at http://urgent.billpay-india.net to stay connected!"
"normal","Education","Anyone got the syllabus for Sem 2? Pls share if you do!"
"fraud","Phishing","Danger! Your Canara Bank details are exposed. Verify now at http://canara-safezone.in or call 1800-456-3210."
"fraud","Loan Scam","Last chance! Rs. 4.5 lakhs loan at low EMI. Don’t wait! Visit: http://safeapply.loanindia.org before it’s gone!"
"normal","Social","Yo, how’s it going? Free for a quick chai chat tomorrow?"
"normal","Social","Yo, how’s prep for Navratri going? Got your dandiya moves ready?"
"fraud","Investment Scams","Alert! Secure your family’s future. 300% returns in 5 days! Click: http://safeinvest-bharat.com"
"fraud","Service Fraud","Emergency! Your broadband is suspended. Reactivate now at http://secure.netfix-india.xyz or face downtime!"
"fraud","Impersonation","Hey, it’s Neha from accounts. Urgent Rs.2000 gift cards needed for staff bonus. Share codes now!"
"fraud","Service Fraud","Help! Your mobile plan is expiring. Renew urgently at http://safe.planrenew-india.xyz to avoid losing service!"
"normal","Service Inquiry","Hello, is there a discount on broadband plans this Diwali?"
"fraud","Fake Delivery Scam","Blue Dart: Urgent! Your parcel needs verification. Update at http://bluedart-verify.in or it will be destroyed!"
"fraud","Tech Support Scam","Emergency! Malware found. Secure your device at http://inditech-fix.com or risk permanent damage!"
"fraud","Phishing","Emergency! Your ICICI account may be blocked. Update details at http://icici-quickfix.net or lose access today!"
"normal","Entertainment","Got passes for a Holi music fest. Wanna dance in colors with me?"
"normal","Travel","Yo, booked a safari in Ranthambore. Tigers await! You in for this adventure?"
"normal","Social","Hey, are you joining the Ganpati visarjan this year? Let’s go together!"
"fraud","Identity Theft","Critical! Your identity is at risk. Act now at http://safeid-india.org to avoid bank account suspension!"
"normal","Education","Hey, guest lecture by ISRO scientist today at 11 AM. Don’t miss!"
"fraud","Lottery Scam","Huge Win! Rs. 7 lakhs in Kerala Lotto! Act fast at http://keralaprize.luckywin.co or it’s gone!"
"fraud","Tech Support Scam","Danger! Virus attack detected. Visit http://protectmytech-ind.com to resolve before it's too late!"
"fraud","Emotional Manipulation","Aunty, I’m stranded in Delhi! Need Rs. 5,000 for a ticket back. Please send to http://urgent-travel.in. I’m scared!"
"fraud","Phishing","Alert! Your Amazon India account is hacked. Secure it at http://amazon-in-protect.net before it’s too late!"
"fraud","Fake Delivery Scam","India Post Alert: Delivery failed. Update address at http://postindia-update.com or parcel will be discarded!"
"fraud","Tech Support Scam","Warning! System hacked. Contact tech support at 1-800-987-6543 immediately to save your data!"
"fraud","Investment Scams","Exclusive for Indians! 500% profit in 3 days. Secure spot: http://niftymoney-secure.in"
"normal","Delivery Update","Hi, your order is heading to you. Delivery set for today around 6 PM in Pune."
"fraud","Loan Scam","Hurry! Rs. 5 lakhs loan at 1.5% interest. Last day to apply! Click: http://quickcash.loanindia.net or lose this chance!"
"normal","Social","Saw your reel on Instagram. That dance at the wedding was epic!"
"fraud","Identity Theft","Immediate Alert! Verify your identity at http://id-checkindia.com or face deactivation of services!"
"normal","Service Inquiry","Hey, can I get a quick estimate for painting my flat in Pune?"
"fraud","Fake Delivery Scam","India Post: Your parcel delivery failed due to incomplete address. Update now at http://indiapost-fixdata.in or it will be returned!"
"normal","Entertainment","Hey, there’s a stand-up comedy show in Hyderabad. Let’s laugh together!"
"normal","Social","Bro, let’s plan a trip to Lonavala soon. Monsoon vibes calling!"
"fraud","Investment Scams","Act now! Rare IPO chance. Triple your savings! Click fast: http://ipoindia-gain.com"
"fraud","Subscription Scam","Urgent! Your Amazon Prime subscription is expiring. Renew now to avoid interruption: http://prime-renewal-india.co"
"fraud","Tech Support Scam","Critical! Device infected. Dial 1-855-123-7890 for urgent tech support or face total system crash!"
"fraud","Job Offer Scam","URGENT JOB! Earn ₹50,000/month from home. Apply today at http://quickhireindia.com or lose this chance!"
"normal","Sports","Hey, I’m hitting the badminton court at 6 PM. Join if you’re free!"
"normal","Sports","Did you catch the hockey match? India won 3-2 against Germany!"
"normal","Recreation","Hey, there’s a Diwali fair near my place. Let’s check out the lights!"
"normal","Family","Hey guys, let’s do a Rakhi celebration at my place. Who’s coming?"
"fraud","Identity Theft","Alert! Your Aadhaar details are compromised. Secure now at http://aadhaar-safezone.in or risk account freeze!"
"fraud","Service Fraud","Danger! Your phone connection is at risk. Update payment at http://verify.phonebill-india.com now!"
"fraud","Lottery Scam","Big News! You’re the winner of $15,000 in Desi Lottery! Secure it at http://desiprize.claimnow.in fast!"
"normal","Travel","Just arrived in Shimla. Snow everywhere! Let’s chat about plans tonight."
"fraud","Financial Fraud","URGENT: Rs. 15,000 overcharge on your SBI card. Claim refund at http://sbi-refundnow.in before expiry!"
"fraud","Lottery Scam","Congrats! You’ve won Rs. 5 lakhs in Bharat Lotto! Claim now at http://bharatprize.winfast.co or lose it forever!"
"fraud","Loan Scam","Warning! Rs. 2 lakhs loan offer ending in 24 hrs. Secure it at: http://speedcash.loantrust.in or regret later!"
"normal","Family","Fam, anyone up for a quick trip to the local mandir tomorrow?"
"fraud","Subscription Scam","Critical! Your Voot subscription is about to lapse. Save it via: http://voot-savenow.in"
"fraud","Financial Fraud","EMERGENCY: Suspicious activity on your ICICI account. Secure it now at http://icici-protect.in or lose access!"
"normal","Sports","Our local kabaddi team smashed it today! 35-28, what a game!"
"fraud","Identity Theft","Emergency! Aadhaar misuse detected. Confirm identity at http://verify-aadhaarsecure.in or lose benefits!"
"fraud","Job Offer Scam","HIRING NOW! ₹40,000/month remote work. No skills needed. Click fast: http://easyjobdelhi.net"
"normal","Education","Class cancelled today. Prof will share notes on WhatsApp group."
"normal","Recreation","Hi, there’s a street food fest near Chandni Chowk tonight. Up for some chaat?"
"fraud","Fake Delivery Scam","Urgent! Your Flipkart order is stuck at customs. Pay ₹99 fee at http://flipkart-release.in to avoid cancellation!"
"normal","Work Update","Just FYI, the project report is due by tomorrow evening. Let’s hustle!"
"fraud","Impersonation","Income Tax Alert: Refund of Rs.50,000 awaits! Claim at http://it-refundportal.in before deadline!"
"fraud","Impersonation","Hi, it’s Ravi from HDFC Bank. Urgent! Verify your account or it will be blocked. Click now: http://hdfc-secureverify.in"
"fraud","Emotional Manipulation","Brother, I’ve been robbed in Chennai. Need Rs. 3,500 to survive. Send via http://emergency-cash.in. Help me!"
"fraud","Subscription Scam","Hurry! Your Netflix India subscription ends in 24 hrs. Don’t lose access, click: http://netflix-indiarenew.com"
"fraud","Impersonation","Hi, it’s Anil, your boss. Buy Rs.3000 Flipkart cards for a client. Text codes urgently. Need it today!"
"normal","Service Inquiry","Hello, do you have any special offers for DTH recharge?"
"fraud","Investment Scams","Hurry! Invest ₹500 & earn ₹5000 in 48 hrs. Don’t miss out! Click now: http://indiagrow-wealth.com"
"normal","Entertainment","Hey, let’s binge the new Netflix India series this weekend. Thoughts?"
"fraud","Fake Delivery Scam","FedEx India: Delivery on hold due to missing info. Pay ₹199 at http://fedex-indiafee.com to release your package!"
"normal","Travel","Yo, I’m at Delhi airport. Flight to Mumbai in an hour. Will buzz you after landing."
"fraud","Emotional Manipulation","Mummy, I’m in danger! Need Rs. 5,500 for safety. Send urgently to http://protect-me.in. I’m so scared!"
"fraud","Identity Theft","Red Alert! Identity theft on your voter ID. Confirm at http://voterid-safeguard.co to stay safe!"
"normal","Social","Hey, wanna grab some vada pav this evening? Let’s meet at 6 near the station!"
"normal","Family","Reminder: Dad’s bday next week. Let’s surprise him with a cake!"
"fraud","Impersonation","Hey, it’s Priya from HR. Need Rs.5000 Amazon vouchers for team reward. Send codes ASAP. Thanks!"
"fraud","Tech Support Scam","Warning! Your system is at risk. Call 1800-555-4321 to prevent data loss in India today!"
"fraud","Job Offer Scam","ALERT! ₹25,000/week job offer. No skills required. Secure now: http://indiaremotehire.com"
"normal","Service Inquiry","Hi, can I get a price list for your products via WhatsApp?"
"fraud","Subscription Scam","Alert! Your Spotify India account will auto-charge Rs.1199. Cancel now at http://spotify-stopbill.in to avoid fees!"
"normal","Family","Dad, did you pay the electricity bill? Just a reminder!"
"normal","Travel","Just checked in at a resort in Udaipur. Feels like royalty! Talk tomorrow."
"fraud","Loan Scam","Special Diwali offer! Rs. 5 lakhs loan at 1% interest. Apply: http://festivefunds.loansecure.co.in before it’s gone."
"normal","Travel","Landed in Kolkata. Durga Puja vibes already! Will update you soon."
"normal","Social","Hey, your Holi video was epic! Let’s catch up this week."
"fraud","Lottery Scam","You’re a winner of $10,000 in Bharat Lotto! Hurry, visit http://bharatlotto.rewardzone.in to claim before midnight!"
"normal","Work Update","Yo, project deadline is tomorrow. Let’s wrap it up, folks!"
"normal","Education","Yo, did you check the updated timetable on the college app? New slots!"
"fraud","Investment Scams","Warning! Last slot for 400% returns on SIP plan! Call: 1800-987-6543 Don’t miss out!"
"fraud","Emotional Manipulation","Sis, I lost everything in a scam! Need Rs. 2,000 to survive. Send to http://emergency-funds.in. Please, I’m begging!"
"fraud","Identity Theft","Warning! Suspicious activity on your ID. Act fast at http://id-guardindia.net or accounts will be locked!"
"normal","Delivery Update","Update: Your Swiggy Instamart delivery is on the move. Arriving in a few hours!"
"fraud","Identity Theft","Critical! Aadhaar misuse detected. Secure it at http://aadhaar-locksafe.in or face legal action!"
"fraud","Investment Scams","Urgent notice! 700% returns on gold investment! Secure at: http://goldrush-india.com Act now!"
"fraud","Phishing","Your Canara Bank account is compromised. Secure it urgently at http://canara-safety.in to prevent fraud!"
"normal","Recreation","Game night at my place. Bring your favorite board games, yaar!"
"normal","Sports","India’s hockey team smashed it 3-1 against Australia! So proud!"
"normal","Entertainment","Hey, there’s a stand-up comedy show in Delhi next Friday. Up for laughs?"
"normal","Work Update","Hi, let’s sync on Teams at 11 AM today for project updates."
"normal","Sports","Did you catch the India-Pakistan cricket match? What a nail-biter!"
"normal","Service Inquiry","Hi, what’s the warranty period for your AC servicing?"
"normal","Recreation","Hey, let’s check out the new trampoline park in Delhi. Sounds fun!"
"fraud","Impersonation","This is your uncle Ravi. I’m stuck in an emergency. Transfer ₹10,000 via http://helpfamily-india.net. Please help!"
"fraud","Job Offer Scam","EMERGENCY! Earn ₹20,000/week working from home. Apply ASAP: http://indiasafejobs.live"
"normal","Service Inquiry","Hey, is your store in Pune open on Sundays?"
"normal","Delivery Update","Your order from Ajio is en route. Expected to arrive by tomorrow morning."
"normal","Recreation","Thinking of a movie night. Latest Bollywood flick at PVR. You in?"
"fraud","Financial Fraud","DANGER: Your IDBI account may be compromised. Update security at http://idbi-protectzone.com before it’s too late!"
"normal","Work Update","Heads up, team lunch at Biryani House today at 1 PM. Join in!"
"fraud","Service Fraud","Alert! Your Jio data plan expires tonight. Renew immediately at http://jio.quickrenewal.in or face disconnection!"
"fraud","Emotional Manipulation","Uncle, I’ve been arrested in Mumbai by mistake. Need Rs. 7,000 for bail. Help at http://bail-support.in. I’m desperate!"
"normal","Entertainment","Just saw a teaser for the new South Indian action flick. Looks epic! Thoughts?"
"normal","Delivery Update","Hey, keep an eye out! Your Nykaa package is arriving today before 6 PM."
"normal","Sports","Hey, joining for the gully cricket match this Sunday at the maidan?"
"fraud","Job Offer Scam","FINAL CALL! Remote job, ₹35,000/month. Don’t miss out! Apply: http://quickhireindia.online"
"fraud","Financial Fraud","URGENT: Rs. 5,000 debited from your SBI account. Verify transaction now at http://sbi-safeconfirm.com or lose access!"
"normal","Sports","That Kohli six in the last over was epic! Saw the highlights?"
"fraud","Subscription Scam","Your JioCinema subscription is at risk. Update payment details urgently: http://jiocinema-verify.in to continue streaming."
"fraud","Subscription Scam","Alert! Your Hotstar subscription payment failed. Update details immediately: http://hotstar-fixpay.net to avoid disconnection."
"fraud","Job Offer Scam","HURRY! Work-from-home, ₹30,000/week. Limited seats. Apply: http://fastindiawork.org"
"normal","Sports","Our school badminton team is in the nationals! Cheering for them!"
"fraud","Phishing","Alert! Unauthorized transaction on your PNB account. Stop it at http://pnb-securecheck.in before funds are lost!"
"normal","Sports","Yo, our local kabaddi team won the state finals! Insane match!"
"fraud","Phishing","Emergency! Your Kotak account has been flagged. Verify now at http://kotak-safeguard.net to avoid closure!"
"fraud","Tech Support Scam","Urgent! Your device is infected with malware. Secure it now at http://techshield-india.com or lose all data!"
"normal","Work Update","Hey, the presentation is ready. Check Google Drive for details."
"normal","Social","Yo, saw your Diwali pics on Insta. Stunning! Let’s meet up soon."
"fraud","Identity Theft","Urgent! Your Aadhaar is compromised. Secure it now at http://aadhaar-protectnow.in or face account freeze!"
"normal","Delivery Update","Hey, your Flipkart order is on its way! Expected delivery by tomorrow afternoon."
"normal","Work Update","Reminder: HR training tomorrow at 2 PM in the conf room."
"normal","Travel","Hey, reached Darjeeling. Tea gardens look unreal! Will call later."
"normal","Social","Bro, that IPL match last night was insane! Let’s discuss over coffee."
"fraud","Loan Scam","Limited slots! Rs. 7 lakhs loan at 0.5% interest. Act fast: http://securecash.loanapproval.in or call 9001122334."
"fraud","Financial Fraud","IMMEDIATE ACTION: Rs. 4,200 debit from your Union Bank account. Confirm at http://unionbank-securelink.com to prevent loss!"
"fraud","Job Offer Scam","URGENT HIRING! ₹25,000/week from home. Call 9876543210 or click: http://quickjobindia.biz"
"fraud","Loan Scam","Immediate Rs. 4.5 lakhs loan approval for you. Hurry! Visit: http://cashnow.indialoans.net or call 9112233445."
"fraud","Service Fraud","Urgent Notice! Your D2H subscription ends today. Avoid blackout by paying at http://d2h.safepaylink.in immediately!"
